threshold,persistence_bars,persistence_s,delay_bars,delay_s,horizon_bars,horizon_s,cost,n_trades,trades_wk,mean_gross,mean_net,sharpe,win_rate
3.5,0,0,0,0,1,10,0.5,5028,135.36923076923077,0.6522673031026098,0.15226730310260989,0.034512136343507936,0.4779236276849642
3.5,0,0,0,0,1,10,0.7,5028,135.36923076923077,0.6522673031026098,-0.04773269689739012,-0.010818851518345635,0.4152744630071599
3.5,0,0,0,0,2,20,0.3,4877,131.30384615384614,0.7898503178183315,0.4898503178183315,0.10767214691949711,0.5677670699200328
3.5,0,0,0,0,2,20,0.5,4877,131.30384615384614,0.7898503178183315,0.2898503178183315,0.06371090284026841,0.5015378306335863
3.5,0,0,0,0,2,20,0.7,4877,131.30384615384614,0.7898503178183315,0.08985031781833153,0.019749658761039717,0.4513020299364363
3.5,0,0,0,0,3,30,0.3,4707,126.72692307692307,0.8436265137030142,0.5436265137030144,0.10318585721920819,0.5661780327172297
3.5,0,0,0,0,3,30,0.5,4707,126.72692307692307,0.8436265137030142,0.34362651370301434,0.06522381724572039,0.5122158487359252
3.5,0,0,0,0,3,30,0.7,4707,126.72692307692307,0.8436265137030142,0.14362651370301435,0.02726177727223261,0.45974081155725516
3.5,0,0,0,0,6,60,0.3,4411,118.7576923076923,0.8525504420766489,0.5525504420766489,0.09912880890663245,0.5486284289276808
3.5,0,0,0,0,6,60,0.5,4411,118.7576923076923,0.8525504420766489,0.35255044207664893,0.06324835298515064,0.510088415325323
3.5,0,0,0,0,6,60,0.7,4411,118.7576923076923,0.8525504420766489,0.15255044207664892,0.027367897063668826,0.47766946270686916
3.5,0,0,0,0,12,120,0.3,4029,108.47307692307692,0.7767187887813061,0.476718788781306,0.07973572276637965,0.5383469843633656
3.5,0,0,0,0,12,120,0.5,4029,108.47307692307692,0.7767187887813061,0.2767187887813061,0.04628383261947871,0.510548523206751
3.5,0,0,0,0,12,120,0.7,4029,108.47307692307692,0.7767187887813061,0.07671878878130621,0.012831942472577764,0.4827500620501365
3.5,0,0,0,0,30,300,0.3,3511,94.52692307692307,0.7749643976075362,0.47496439760753606,0.06629406295836356,0.533181429792082
3.5,0,0,0,0,30,300,0.5,3511,94.52692307692307,0.7749643976075362,0.27496439760753616,0.03837868096666218,0.5132440900028482
3.5,0,0,0,0,30,300,0.7,3511,94.52692307692307,0.7749643976075362,0.07496439760753629,0.010463298974960808,0.4901737396753062
3.5,0,0,1,10,1,10,0.3,5028,135.36923076923077,0.15564836913287938,-0.14435163086712055,-0.04342419766260977,0.3460620525059666
3.5,0,0,1,10,1,10,0.5,5028,135.36923076923077,0.15564836913287938,-0.34435163086712056,-0.1035886688248135,0.273667462211615
3.5,0,0,1,10,1,10,0.7,5028,135.36923076923077,0.15564836913287938,-0.5443516308671206,-0.16375313998701724,0.22553699284009546
3.5,0,0,1,10,2,20,0.3,4877,131.30384615384614,0.1929874923108873,-0.10701250768911269,-0.024732737506055848,0.39819561205659215
3.5,0,0,1,10,2,20,0.5,4877,131.30384615384614,0.1929874923108873,-0.3070125076891127,-0.07095675008205891,0.3381176953044905
3.5,0,0,1,10,2,20,0.7,4877,131.30384615384614,0.1929874923108873,-0.5070125076891127,-0.11718076265806197,0.2872667623539061
